Player,MBAPPE,O-MBAPPE,D-MBAPPE,eLPA,Born,Age,Competition,Team,Nation,Primary Position,Secondary Positions,SCA%,PRG%,TO%,FIN%,INT%,TKL%,SP%,AER%,USG%,DENY%
Michael Ngadeu-Ngadjui,0.052,0.02,0.031,4.54,1990,28.0,"Belgian Pro League, UEL",Gent,Cameroon,CB,,4.5,6.2,15.3,2.4,1.5,1.2,0.3,62.0,10.1,0.0
Michael Novak,-0.041,-0.026,-0.015,0.0,1990,28.0,UEL,Wolfsberger AC,Austria,RB,,8.1,9.4,27.6,-5.8,1.3,1.5,1.2,44.7,15.4,0.0
Michael Obafemi,0.011,0.022,-0.011,0.98,2000,19.0,Premier League,Southampton,Ireland,ST,"RW, RM",11.4,7.3,27.4,0.5,1.0,0.8,0.8,33.5,13.9,0.0
Michael Parensen,0.005,0.005,-0.0,0.9,1986,33.0,Bundesliga,Union Berlin,Germany,CB,,7.4,9.1,21.7,-4.5,1.4,1.0,0.8,53.8,12.6,0.0
Michael Pinto,-0.061,-0.042,-0.019,0.71,1993,26.0,Eredivisie,"Sparta Rotterdam, Fortuna Sittard",Luxembourg,LB,,10.8,14.1,23.2,-6.3,1.4,1.3,1.1,49.1,15.4,0.0
Michael Santos,-0.019,-0.014,-0.005,0.0,1993,26.0,UEL,FC Copenhagen,Uruguay,ST,,10.9,8.1,29.4,-4.3,0.8,0.9,0.8,38.0,14.4,0.0
Michael Sollbauer,-0.053,-0.019,-0.034,0.0,1990,29.0,UEL,Wolfsberger AC,Austria,CB,,7.2,8.3,23.3,-5.8,1.0,1.3,1.2,50.8,11.8,0.0
Michael Zetterer,-0.034,-0.014,-0.02,1.33,1995,24.0,Eredivisie,Zwolle,Germany,GK,,5.3,4.7,24.2,-5.8,0.5,0.5,0.7,53.4,12.1,-0.5
Michael de Leeuw,-0.069,-0.03,-0.039,1.95,1986,32.0,Eredivisie,Emmen,Netherlands,ST,"AM, CM",10.6,5.5,26.0,-4.4,0.6,0.6,0.6,41.5,11.4,0.0
Michail Antonio,0.102,0.101,0.001,3.8,1990,29.0,Premier League,West Ham,Jamaica,ST,"LW, LM, RM",18.1,8.9,33.8,-13.6,0.8,0.7,0.7,45.7,18.7,0.0
Michal Krmenčík,-0.018,-0.017,-0.001,0.35,1993,26.0,Belgian Pro League,Club Brugge,Czechia,ST,,8.9,7.7,24.5,-6.8,0.9,1.0,1.0,50.9,13.0,0.0
Michal Sadílek,-0.022,-0.011,-0.011,1.34,1999,20.0,"UEL, Eredivisie",PSV,Czechia,LB,,7.4,9.1,19.4,-6.0,1.4,1.5,0.8,44.1,13.2,0.0
Michaël Heylen,-0.112,-0.023,-0.089,0.9,1994,25.0,Eredivisie,Emmen,Belgium,CB,,5.6,6.4,16.9,-7.3,1.5,1.0,0.7,53.2,10.4,0.0
Michel Aebischer,-0.024,-0.02,-0.004,0.0,1997,22.0,UEL,Young Boys,Switzerland,CM,,10.4,10.1,25.1,-6.8,1.2,1.0,2.8,51.1,14.9,0.0
Michel Vlap,0.035,0.022,0.012,2.64,1997,22.0,Belgian Pro League,Anderlecht,Netherlands,AM,"DM, LW, LM, RM, CM",13.9,9.7,25.0,2.4,0.8,0.9,2.4,35.5,15.3,0.0
Michiel Jonckheere,-0.041,-0.021,-0.02,1.01,1990,29.0,Belgian Pro League,Oostende,Belgium,CM,"AM, LM",12.0,9.0,24.1,-7.8,1.0,1.4,1.1,34.5,12.9,0.0
Michiel Kramer,-0.053,-0.029,-0.024,0.68,1988,30.0,Eredivisie,ADO Den Haag,Netherlands,ST,AM,9.0,7.6,26.6,-12.6,0.7,0.7,0.8,54.6,12.7,0.0
Michy Batshuayi,0.084,0.086,-0.003,0.49,1993,25.0,"Premier League, UCL",Chelsea,Belgium,ST,DM,10.5,7.7,24.8,-13.9,0.9,0.9,1.3,43.2,15.1,0.0
Mickaël Alphonse,-0.043,-0.03,-0.013,1.45,1989,30.0,Ligue 1,Dijon,Guadeloupe,RB,"LB, WB",7.5,9.8,27.2,-6.8,1.2,1.5,1.3,65.4,14.9,0.0
Mickaël Cuisance,0.003,0.007,-0.004,0.43,1999,19.0,Bundesliga,Bayern Munich,France,DM,AM,11.5,8.7,23.2,-3.6,1.1,0.9,1.9,48.8,14.9,0.0
Mickaël Garos,-0.062,-0.011,-0.052,0.0,1988,31.0,UEL,F91 Dudelange,France,CB,,8.5,8.1,21.6,-5.8,1.8,1.0,1.0,52.8,12.1,0.0
Miguel,-0.015,-0.014,-0.002,0.3,1999,19.0,La Liga,Valladolid,Spain,ST,,9.4,8.4,25.8,-6.3,1.0,1.0,1.0,36.2,14.0,0.0
Miguel Almirón,-0.037,-0.025,-0.013,3.33,1994,25.0,"Premier League, Copa America","Paraguay, Newcastle United",Paraguay,CM,"AM, ST, LM, RM",14.8,13.9,26.6,-15.2,1.1,1.3,0.5,38.1,14.7,0.0
Miguel Araujo,-0.03,-0.019,-0.011,1.25,1994,24.0,"Copa America, Eredivisie","Emmen, Peru",Peru,CB,,6.0,7.6,17.9,-5.0,1.1,1.4,0.6,45.9,11.0,0.0
Miguel Luís,-0.04,-0.029,-0.011,0.19,1999,20.0,"UEL, Primeira Liga",Sporting CP,Portugal,CM,"DM, RB, LM, RM",9.0,8.2,25.8,-11.0,1.1,1.3,1.4,49.0,14.2,0.0
Miguel Reisinho,-0.017,-0.011,-0.006,0.27,1999,20.0,Primeira Liga,Boavista,Portugal,CM,"LB, DM",10.0,9.3,23.4,-6.3,1.4,1.1,1.0,48.8,13.6,0.0
Miguel Tavares,-0.029,-0.027,-0.002,0.52,1998,20.0,Primeira Liga,Aves,Portugal,LW,"RW, LM",13.8,10.0,27.3,-7.8,1.2,1.2,1.1,45.7,15.6,0.0
Miguel Trauco,0.003,-0.008,0.011,2.08,1992,26.0,"Copa America, UEL, Ligue 1","Saint-Étienne, Peru",Peru,LB,"LM, CM, WB",8.3,9.2,25.2,-6.0,1.3,1.2,1.1,44.6,14.2,0.0
Miguel Veloso,0.009,0.008,0.002,4.09,1986,33.0,Serie A,Hellas Verona,Portugal,CM,,12.9,13.4,23.0,-0.9,1.2,1.1,5.2,54.6,16.2,0.0
Miguel Ángel Guerrero,-0.018,-0.022,0.004,0.99,1990,29.0,"La Liga, UCL","Leganés, Olympiacos",Spain,ST,CM,10.9,7.8,26.3,-10.9,0.7,0.6,0.6,40.7,12.9,0.0
Miguel Ángel Moyá,0.058,0.026,0.032,2.13,1984,35.0,La Liga,Real Sociedad,Spain,GK,,4.9,4.4,21.7,-5.8,0.6,0.5,0.6,52.5,10.0,0.2
Miha Blažič,-0.019,0.021,-0.04,0.0,1993,26.0,UEL,Ferencváros,Slovenia,CB,,9.9,10.3,19.8,-9.6,1.3,0.9,0.8,51.8,12.9,0.0
Mihai Bordeianu,-0.023,-0.021,-0.002,0.0,1991,27.0,UEL,CFR Cluj,Romania,CM,DM,12.1,10.4,27.1,-7.3,1.3,1.5,2.6,53.2,15.3,0.0
